Date, Open, High, Low, Close,Symbol
11/30/2020,1854.87,1854.87,1813.56,1819.82,RUT 2000
11/27/2020,1846.26,1855.27,1845.5,1855.27,RUT 2000
11/25/2020,1852.62,1852.62,1831.95,1845.02,RUT 2000
11/24/2020,1819.52,1862.17,1819.52,1853.53,RUT 2000
11/23/2020,1787.24,1827.6,1787.24,1818.3,RUT 2000
11/20/2020,1782.15,1787.39,1771.13,1785.34,RUT 2000
11/19/2020,1769.25,1784.64,1764.2,1784.13,RUT 2000
11/18/2020,1792.76,1805.2,1769.32,1769.32,RUT 2000
11/17/2020,1783.09,1795.89,1755.34,1791.91,RUT 2000
11/16/2020,1747.02,1785.34,1747.02,1785.34,RUT 2000
11/13/2020,1710.05,1749.36,1710.05,1744.04,RUT 2000
11/12/2020,1735.99,1735.99,1696.65,1708.47,RUT 2000
11/11/2020,1738.88,1746.31,1722.22,1736.93,RUT 2000
11/10/2020,1706.45,1741.83,1706.45,1737.01,RUT 2000
11/9/2020,1652.11,1745.69,1652.11,1705.04,RUT 2000
11/6/2020,1660.78,1667.15,1644.16,1644.16,RUT 2000
11/5/2020,1616.65,1664.12,1616.65,1660.05,RUT 2000
11/4/2020,1612.98,1631.31,1598.56,1615.08,RUT 2000
11/3/2020,1571.94,1620.77,1571.94,1614.3,RUT 2000
11/2/2020,1540.86,1568.59,1540.86,1568.59,RUT 2000
10/30/2020,1559.69,1559.69,1526.22,1538.48,RUT 2000
10/29/2020,1543.06,1566.39,1532.23,1561.58,RUT 2000
10/28/2020,1586.77,1586.77,1542.54,1543.28,RUT 2000
10/27/2020,1605.67,1609.53,1590.71,1590.48,RUT 2000
10/26/2020,1635.22,1635.22,1586.89,1605.21,RUT 2000
10/23/2020,1634.06,1641.48,1626.32,1640.5,RUT 2000
10/22/2020,1604.95,1631.97,1603.96,1630.25,RUT 2000
10/21/2020,1618.34,1621.88,1603.77,1603.78,RUT 2000
10/20/2020,1620.57,1632.76,1615.99,1617.71,RUT 2000
10/19/2020,1636.84,1647.05,1612.22,1613.63,RUT 2000
10/16/2020,1638.48,1646.25,1633.8,1633.81,RUT 2000
10/15/2020,1618.88,1641.0,1598.49,1638.88,RUT 2000
10/14/2020,1637.97,1647.99,1621.56,1621.65,RUT 2000
10/13/2020,1647.57,1647.57,1631.6,1636.85,RUT 2000
10/12/2020,1642.46,1652.05,1637.35,1649.05,RUT 2000
10/9/2020,1630.71,1645.04,1630.71,1637.55,RUT 2000
10/8/2020,1615.27,1630.33,1615.27,1628.55,RUT 2000
10/7/2020,1581.12,1614.61,1581.12,1611.04,RUT 2000
10/6/2020,1584.49,1619.21,1577.29,1577.29,RUT 2000
10/5/2020,1541.2,1582.66,1541.2,1581.96,RUT 2000
10/2/2020,1527.59,1544.5,1498.12,1539.3,RUT 2000
10/1/2020,1508.6,1531.92,1508.6,1531.2,RUT 2000
9/30/2020,1504.84,1528.01,1498.29,1507.69,RUT 2000
9/29/2020,1510.2,1512.22,1492.52,1504.73,RUT 2000
9/28/2020,1477.43,1514.33,1477.43,1510.34,RUT 2000
9/25/2020,1450.98,1478.95,1445.7,1474.91,RUT 2000
9/24/2020,1450.84,1474.02,1432.57,1451.82,RUT 2000
9/23/2020,1496.97,1503.98,1451.41,1451.46,RUT 2000
9/22/2020,1486.05,1497.81,1474.49,1496.96,RUT 2000
9/21/2020,1533.92,1533.92,1470.44,1485.25,RUT 2000
9/18/2020,1544.34,1556.38,1519.76,1536.78,RUT 2000
9/17/2020,1550.14,1550.14,1526.55,1542.6,RUT 2000
9/16/2020,1539.27,1572.06,1539.27,1552.33,RUT 2000
9/15/2020,1538.54,1551.02,1535.64,1538.15,RUT 2000
9/14/2020,1499.38,1538.5,1499.38,1536.97,RUT 2000
9/11/2020,1508.8,1515.97,1484.95,1497.27,RUT 2000
9/10/2020,1526.87,1543.43,1507.73,1507.75,RUT 2000
9/9/2020,1505.09,1532.91,1505.09,1526.48,RUT 2000
9/8/2020,1534.37,1534.37,1499.83,1504.59,RUT 2000
9/4/2020,1546.64,1563.38,1501.52,1535.3,RUT 2000
9/3/2020,1578.78,1595.04,1538.53,1544.68,RUT 2000
9/2/2020,1578.78,1595.04,1567.43,1592.29,RUT 2000
9/1/2020,1561.1,1578.58,1554.19,1578.58,RUT 2000
8/31/2020,1577.55,1577.55,1561.88,1561.88,RUT 2000
8/28/2020,1570.46,1578.34,1567.13,1578.34,RUT 2000
8/27/2020,1561.36,1573.38,1555.27,1564.56,RUT 2000
8/26/2020,1570.72,1572.57,1559.73,1560.19,RUT 2000
8/25/2020,1572.65,1574.24,1556.78,1571.21,RUT 2000
8/24/2020,1559.96,1568.73,1554.1,1568.47,RUT 2000
8/21/2020,1563.37,1563.37,1545.36,1552.48,RUT 2000
8/20/2020,1567.77,1570.38,1554.46,1564.3,RUT 2000
8/19/2020,1570.44,1585.16,1569.98,1572.07,RUT 2000
8/18/2020,1585.54,1585.54,1566.51,1569.77,RUT 2000
8/17/2020,1579.48,1586.52,1575.84,1585.47,RUT 2000
8/14/2020,1575.78,1583.48,1567.88,1577.88,RUT 2000
8/13/2020,1580.26,1590.09,1575.96,1579.79,RUT 2000
8/12/2020,1577.9,1595.12,1574.25,1583.25,RUT 2000
8/11/2020,1587.57,1603.6,1570.7,1575.1,RUT 2000
8/10/2020,1573.75,1593.83,1573.75,1584.67,RUT 2000
8/7/2020,1542.52,1569.27,1539.52,1569.18,RUT 2000
8/6/2020,1546.44,1550.47,1537.46,1544.62,RUT 2000
8/5/2020,1521.79,1546.4,1521.79,1546.24,RUT 2000
8/4/2020,1506.53,1517.22,1501.58,1517.21,RUT 2000
8/3/2020,1485.49,1507.93,1483.37,1506.8,RUT 2000
7/31/2020,1495.15,1495.15,1457.62,1480.43,RUT 2000
7/30/2020,1499.2,1499.2,1475.16,1495.1,RUT 2000
7/29/2020,1471.37,1501.86,1471.37,1500.63,RUT 2000
7/28/2020,1484.37,1485.34,1469.55,1469.76,RUT 2000
7/27/2020,1468.23,1484.66,1464.48,1484.65,RUT 2000
7/24/2020,1488.67,1488.67,1466.1,1467.56,RUT 2000
7/23/2020,1489.33,1507.24,1477.23,1490.2,RUT 2000
7/22/2020,1486.43,1493.57,1478.88,1490.14,RUT 2000
7/21/2020,1472.13,1496.73,1472.13,1487.51,RUT 2000
7/20/2020,1471.67,1474.37,1461.3,1467.95,RUT 2000
7/17/2020,1467.87,1482.4,1464.71,1473.32,RUT 2000
7/16/2020,1473.78,1473.78,1460.08,1467.56,RUT 2000
7/15/2020,1432.5,1485.05,1432.5,1478.27,RUT 2000
7/14/2020,1403.13,1428.4,1393.9,1428.26,RUT 2000
7/13/2020,1427.36,1452.32,1403.06,1403.57,RUT 2000
7/10/2020,1398.92,1422.71,1395.65,1422.68,RUT 2000
7/9/2020,1427.44,1427.83,1384.1,1398.92,RUT 2000
7/8/2020,1416.36,1431.83,1402.18,1427.4,RUT 2000
7/7/2020,1441.3,1441.3,1414.24,1416.0,RUT 2000
7/6/2020,1435.95,1461.28,1435.95,1442.88,RUT 2000
7/2/2020,1433.39,1459.41,1428.55,1431.86,RUT 2000
7/1/2020,1443.29,1451.46,1423.65,1427.31,RUT 2000
6/30/2020,1418.55,1444.12,1413.18,1441.37,RUT 2000
6/29/2020,1383.04,1427.09,1381.04,1421.21,RUT 2000
6/26/2020,1411.37,1411.37,1375.59,1378.78,RUT 2000
6/25/2020,1388.41,1413.71,1375.37,1413.32,RUT 2000
6/24/2020,1437.2,1437.2,1374.4,1389.74,RUT 2000
6/23/2020,1436.46,1454.12,1436.46,1439.34,RUT 2000
6/22/2020,1417.67,1433.53,1400.98,1433.53,RUT 2000
6/19/2020,1430.65,1443.8,1409.47,1418.63,RUT 2000
6/18/2020,1424.72,1439.74,1412.27,1427.08,RUT 2000
6/17/2020,1453.33,1456.77,1424.6,1426.53,RUT 2000
6/16/2020,1432.35,1473.74,1427.84,1452.26,RUT 2000
6/15/2020,1381.41,1425.84,1343.6,1419.61,RUT 2000
6/12/2020,1366.96,1412.91,1349.39,1387.68,RUT 2000
6/11/2020,1458.34,1458.34,1355.32,1356.22,RUT 2000
6/10/2020,1506.94,1506.94,1465.94,1467.39,RUT 2000
6/9/2020,1533.03,1533.03,1496.68,1507.05,RUT 2000
6/8/2020,1510.59,1537.62,1510.59,1536.89,RUT 2000
6/5/2020,1460.18,1525.56,1460.18,1507.15,RUT 2000
6/4/2020,1450.16,1460.09,1439.11,1452.06,RUT 2000
6/3/2020,1425.37,1463.55,1425.37,1452.09,RUT 2000
6/2/2020,1409.16,1421.12,1403.69,1418.21,RUT 2000
6/1/2020,1396.29,1419.94,1395.51,1405.37,RUT 2000
5/29/2020,1399.05,1399.05,1372.71,1394.04,RUT 2000
5/28/2020,1437.84,1450.37,1396.95,1400.67,RUT 2000
5/27/2020,1398.5,1438.96,1382.03,1436.36,RUT 2000
5/26/2020,1361.16,1406.77,1361.16,1393.07,RUT 2000
5/22/2020,1349.4,1355.77,1338.13,1355.53,RUT 2000
5/21/2020,1345.72,1354.65,1333.99,1347.56,RUT 2000
5/20/2020,1322.78,1353.38,1322.78,1346.93,RUT 2000
5/19/2020,1330.27,1339.12,1307.27,1307.72,RUT 2000
5/18/2020,1290.9,1338.35,1290.9,1333.69,RUT 2000
5/15/2020,1236.25,1259.28,1225.55,1256.99,RUT 2000
5/14/2020,1226.66,1237.56,1181.1,1237.55,RUT 2000
5/13/2020,1272.9,1272.9,1212.75,1233.25,RUT 2000
5/12/2020,1322.67,1326.89,1275.54,1275.54,RUT 2000
5/11/2020,1320.37,1333.85,1303.53,1321.24,RUT 2000
5/8/2020,1294.28,1330.11,1294.28,1329.64,RUT 2000
5/7/2020,1268.35,1290.92,1268.35,1282.93,RUT 2000
5/6/2020,1278.9,1284.92,1262.56,1263.01,RUT 2000
