unix,date,symbol,open,high,low,close,Volume ETC,Volume USD,Index
1599609600,9/9/2020,ETC/USD,5.647,5.7010000000000005,5.524,5.612,116014.14,20697.25,0
1599523200,9/8/2020,ETC/USD,5.779,5.83,5.315,5.647,444405.83,79161.54,1
1599436800,9/7/2020,ETC/USD,5.9110000000000005,5.972,5.21,5.779,846611.3,149500.27,2
1599350400,9/6/2020,ETC/USD,5.63,6.4079999999999995,5.461,5.9110000000000005,945017.0,161932.77,3
1599264000,9/5/2020,ETC/USD,6.027,6.1370000000000005,5.25,5.63,1111657.93,193940.08,4
1599177600,9/4/2020,ETC/USD,5.9110000000000005,6.4,5.25,6.027,1276207.35,215746.7,5
1599091200,9/3/2020,ETC/USD,6.64,6.647,5.643,5.9110000000000005,1759304.89,282942.49,6
1599004800,9/2/2020,ETC/USD,6.8,6.855,6.5,6.64,1440050.62,216636.95,7
1598918400,9/1/2020,ETC/USD,6.697,7.0,6.69,6.8,1799242.07,265321.72,8
1598832000,8/31/2020,ETC/USD,6.79,6.95,6.6610000000000005,6.697,1014206.57,150084.75,9
1598745600,8/30/2020,ETC/USD,6.876,7.047999999999999,6.678,6.79,1466499.97,213988.5,10
1598659200,8/29/2020,ETC/USD,6.968999999999999,7.2,6.688,6.876,1165294.78,167732.37,11
1598572800,8/28/2020,ETC/USD,6.904,7.5,6.678,6.968999999999999,5440194.84,764402.56,12
1598486400,8/27/2020,ETC/USD,6.587999999999999,7.27,6.482,6.904,5582011.59,824533.44,13
1598400000,8/26/2020,ETC/USD,6.612,6.667000000000001,6.457000000000001,6.587999999999999,1075527.09,163464.64,14
1598313600,8/25/2020,ETC/USD,6.862,6.877000000000001,6.449,6.612,2104108.54,317255.87,15
1598227200,8/24/2020,ETC/USD,6.825,6.945,6.77,6.862,1548015.36,225808.43,16
1598140800,8/23/2020,ETC/USD,6.791,6.872999999999999,6.7010000000000005,6.825,1256922.72,185248.63,17
1598054400,8/22/2020,ETC/USD,6.626,7.285,6.501,6.791,4325496.1,629103.99,18
1597968000,8/21/2020,ETC/USD,6.979,7.096,6.582000000000001,6.626,3400205.08,496485.12,19
1597881600,8/20/2020,ETC/USD,6.815,7.096,6.749,6.979,5316924.63,766584.51,20
1597795200,8/19/2020,ETC/USD,7.275,7.393,6.612,6.815,5758290.49,825194.12,21
1597708800,8/18/2020,ETC/USD,7.364,7.8389999999999995,7.093,7.275,8393296.54,1115762.38,22
1597622400,8/17/2020,ETC/USD,7.242999999999999,7.542000000000001,7.084,7.364,6388548.47,864526.46,23
1597536000,8/16/2020,ETC/USD,7.176,7.301,6.921,7.242999999999999,5094728.73,713792.19,24
1597449600,8/15/2020,ETC/USD,6.9,7.311,6.877000000000001,7.176,4904854.77,687317.73,25
1597363200,8/14/2020,ETC/USD,6.922999999999999,6.972,6.803,6.9,3044847.87,442401.33,26
1597276800,8/13/2020,ETC/USD,6.865,7.25,6.64,6.922999999999999,5435969.57,790972.47,27
1597190400,8/12/2020,ETC/USD,6.817,6.915,6.582999999999999,6.865,2512297.34,371865.58,28
