unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,Index
1599609600,9/9/2020,XRP/USD,0.2367,0.2377,0.233,0.2368,1807299.53,7680581.63,0
1599523200,9/8/2020,XRP/USD,0.2422,0.2437,0.2312,0.2367,13587535.93,57461389.67,1
1599436800,9/7/2020,XRP/USD,0.24,0.2431,0.23,0.2422,12397376.55,52223772.38,2
1599350400,9/6/2020,XRP/USD,0.2376,0.2436,0.23,0.24,16017077.05,67251220.08,3
1599264000,9/5/2020,XRP/USD,0.2549,0.2586,0.2311,0.2376,27389190.22,113535306.6,4
1599177600,9/4/2020,XRP/USD,0.2453,0.266,0.2403,0.2549,28666780.64,114073517.6,5
1599091200,9/3/2020,XRP/USD,0.2762,0.2768,0.2389,0.2453,33142150.89,127408796.4,6
1599004800,9/2/2020,XRP/USD,0.2954,0.3039,0.2635,0.2762,31096055.08,109375712.0,7
1598918400,9/1/2020,XRP/USD,0.2814,0.2989,0.2761,0.2954,23660437.71,81382798.79,8
1598832000,8/31/2020,XRP/USD,0.2832,0.2846,0.2784,0.2814,25556997.97,90780319.12,9
1598745600,8/30/2020,XRP/USD,0.2741,0.284,0.2739,0.2832,21589170.96,77202433.35,10
1598659200,8/29/2020,XRP/USD,0.272,0.27699999999999997,0.2691,0.2741,11281162.18,41293254.98,11
1598572800,8/28/2020,XRP/USD,0.2648,0.2735,0.2602,0.272,16150418.87,60093052.98,12
1598486400,8/27/2020,XRP/USD,0.2765,0.2786,0.2549,0.2648,22033864.67,82840866.36,13
1598400000,8/26/2020,XRP/USD,0.2766,0.281,0.2741,0.2765,17468034.36,62923151.89,14
1598313600,8/25/2020,XRP/USD,0.2887,0.2895,0.2702,0.2766,20928964.78,75107235.65,15
1598227200,8/24/2020,XRP/USD,0.285,0.2922,0.2823,0.2887,13849389.24,48153622.32,16
1598140800,8/23/2020,XRP/USD,0.2862,0.2883,0.2773,0.285,13909873.32,49040637.78,17
1598054400,8/22/2020,XRP/USD,0.2794,0.2869,0.2731,0.2862,18251089.81,65298286.94,18
1597968000,8/21/2020,XRP/USD,0.2921,0.2962,0.27699999999999997,0.2794,31536743.65,109757011.1,19
1597881600,8/20/2020,XRP/USD,0.29,0.2949,0.2842,0.2921,22947913.38,78880776.75,20
1597795200,8/19/2020,XRP/USD,0.3027,0.3063,0.27899999999999997,0.29,33451618.42,114691638.8,21
1597708800,8/18/2020,XRP/USD,0.3159,0.3219,0.2974,0.3027,38771148.17,125287738.7,22
1597622400,8/17/2020,XRP/USD,0.3046,0.3283,0.2972,0.3159,59670004.09,189442329.0,23
1597536000,8/16/2020,XRP/USD,0.2991,0.305,0.2921,0.3046,28079032.67,93875999.19,24
1597449600,8/15/2020,XRP/USD,0.3004,0.3057,0.2916,0.2991,27601824.45,92031695.59,25
